time,n_flows,secure_allocated_flows,best_effort_flows,degraded_flows,blocked_flows,secure_feasible_ratio,allocated_ratio,mean_security_level,mean_security_margin,mean_functional_score,mean_q_path_raw,mean_p_path_raw,mean_q_share,mean_trust,mean_risk,mean_latency,mean_degradation,SCI,regime
10,5,3,0,2,0,0.6,0.6,0.3804004218765294,-0.11559957812347062,-0.045532482252566175,0.049916649408232615,12.149600272080074,0.41028533509367326,0.8194957524390057,0.215409358793733,26.76343174691315,0.770776831122707,0.3221631726345105,transition
11,5,3,1,1,0,0.6,0.8,0.3577464384571619,-0.1382535615428381,-0.0576369731564502,0.047518947644630924,11.626490537399205,0.4232262152925716,0.8033244569590782,0.22123938604037,27.067153202918824,0.7664263641728889,0.319996611998336,transition
12,5,1,2,2,0,0.2,0.6,0.2898713698143781,-0.2061286301856219,-0.2005974258356356,0.035333796844495266,10.51324124281297,0.4021979150725584,0.8101241855857225,0.24436095433097638,36.819365021874965,0.8295867643113318,0.10117245013541636,sparse
13,5,1,2,2,0,0.2,0.6,0.3839015611094821,-0.11209843889051789,-0.07872223040758851,0.051521304217289975,12.240415498413723,0.43292120435988035,0.7984273453899607,0.2399820249993149,31.75595786904693,0.7716723856197465,0.10720270896796183,sparse
14,5,2,1,2,0,0.4,0.6,0.36992095740333547,-0.12607904259666453,-0.10452373265129508,0.04769840616050837,12.354192271497634,0.39665474869234957,0.7961080931104287,0.24159885965039263,32.16843536430684,0.7744000743559296,0.20932649787748803,sparse
15,5,2,1,2,0,0.4,0.6,0.38420549411506155,-0.11179450588493844,-0.05448385548028406,0.05254170838654741,12.30526534101054,0.46084487148651815,0.7757134145396475,0.24187024919914749,25.38994262492878,0.7612475976349933,0.21699855171510968,sparse
16,5,1,2,2,0,0.2,0.6,0.34589141758739866,-0.15010858241260136,-0.10459399167261466,0.0438600996236889,12.040689552824777,0.42615207081852063,0.7831830213150429,0.24384448174689802,25.385581590023524,0.7707742696713047,0.10492204842754509,sparse
17,5,1,2,2,0,0.2,0.6,0.3822352817001536,-0.11376471829984644,-0.059924070769147256,0.05364813336959712,11.754422497719151,0.4786610235890378,0.7912030174982759,0.23734359303177915,26.301826977345684,0.767601308604658,0.10957302327405205,sparse
18,5,2,1,2,0,0.4,0.6,0.3897063090227143,-0.10629369097728572,-0.05756603222565622,0.05659734115373989,11.421596653283625,0.4850354484745324,0.7978775672748195,0.22783984769149698,26.68957307492108,0.7712305383132646,0.22159633093651793,sparse
19,5,1,2,2,0,0.2,0.6,0.35363903664086405,-0.14236096335913598,-0.09534274871544461,0.04810140204336223,11.17673225231211,0.44594305726863415,0.810531469306229,0.22412523159834952,28.898309267597263,0.7835835120442147,0.10744339561636962,sparse
20,5,1,2,2,0,0.2,0.6,0.3408663032567166,-0.15513369674328342,-0.11079708097638867,0.04598999100120016,10.869563517398955,0.44394087939669485,0.8164150292919858,0.2189226189636683,29.272900814321115,0.7914638402633264,0.10708067047856691,sparse
21,5,1,2,2,0,0.2,0.6,0.3497913517717313,-0.14620864822826868,-0.10639528890730579,0.0493834588361868,10.427842062272234,0.4462497593527021,0.8303726156110252,0.21366028984715477,29.391676037777763,0.7918579329475881,0.10791348140653372,sparse
22,5,1,2,2,0,0.2,0.6,0.310066658424096,-0.18593334157590402,-0.15221563139677738,0.043657240186228914,9.455813151419193,0.43611971169321445,0.8345320130527789,0.20387815378494595,31.8909927186259,0.8078950076107718,0.10620629598664828,sparse
23,5,1,2,2,0,0.2,0.6,0.34483854905556327,-0.15116145094443675,-0.1263081969117326,0.04613130779770291,10.658753717195742,0.3831636707447096,0.8490280082407372,0.2228330334476396,35.105362242761956,0.8181213900324306,0.10398593623787744,sparse
