time,flow_id,path,security_req,security_level,functional_score,q_path,p_path,trust_path,risk_path,latency_path,degradation_path,feasible,SCI,regime
12,F1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,1.25,2.682636578341148,1.9918152309475647,0.7553961816871961,7.2436147271716695,0.8931935167144969,0.06472048987973646,69.94863140646663,0.0019425775562660291,True,0.07848478482320528,transition
12,F2,SAT_2 -> SAT_1 -> UAV_1 -> GW_1 -> BS_2 -> BS_1,1.05,2.6634695045510437,1.4273949481514103,0.42589759503450575,7.988423545536414,0.8267451353664702,0.096937234729035,73.69801885820955,0.007975070808115816,True,0.07848478482320528,transition
12,F3,UAV_1 -> SAT_1 -> GW_1 -> BS_1 -> DC_1,0.95,2.6286362311809643,1.3471796503435547,0.42589759503450575,7.857458891199406,0.8515013738721551,0.08104001818394073,71.66234785749542,0.026231627280215136,True,0.07848478482320528,transition
12,F4,GW_2 -> SAT_2 -> UAV_2 -> BS_2 -> GW_1 -> BS_1,0.82,2.6142501535643747,1.462842823633098,0.7553961816871961,7.012990150369088,0.8976432292922839,0.06262638299200882,84.93054364203402,0.007155879899560397,True,0.07848478482320528,transition
13,F1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,1.25,2.49412646156125,1.7109574330036057,0.48609601485877085,7.2436147271716695,0.8931935167144969,0.06712243561172063,69.94863140646663,0.0051618123594780515,True,0.06957760077312394,transition
13,F2,SAT_2 -> SAT_1 -> UAV_1 -> GW_1 -> BS_2 -> BS_1,1.05,2.6613637306572953,1.4236447938758776,0.4228893466148653,7.988423545536414,0.8267451353664702,0.0987187718510575,73.69801885820955,0.011828490617927559,True,0.06957760077312394,transition
13,F3,UAV_1 -> SAT_1 -> GW_1 -> BS_1 -> DC_1,0.95,2.626530457287216,1.345661704257552,0.4228893466148653,7.857458891199406,0.8515013738721551,0.07787517032878996,71.66234785749542,0.01417152893214216,True,0.06957760077312394,transition
13,F4,GW_2 -> SAT_2 -> SAT_1 -> GW_1 -> BS_1,0.82,2.6071801939785773,1.3162885033956007,0.7625844148526655,7.012990150369088,0.8304114359499164,0.09138884582769084,90.40979447553352,0.044946164757905215,True,0.06957760077312394,transition
14,F1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,1.25,2.5725079353056812,1.8321577197926258,0.5980695487793866,7.2436147271716695,0.8931935167144969,0.06480374975311717,69.94863140646663,0.003930786077859262,True,0.06722830453106717,transition
14,F2,SAT_2 -> SAT_1 -> UAV_1 -> BS_2 -> GW_1 -> BS_1,1.05,2.6426693161348553,1.423155309020545,0.39280449952528906,7.988423545536414,0.8398839044790453,0.0859841975727195,74.65134693925935,0.026692102182727606,True,0.06722830453106717,transition
14,F3,UAV_1 -> SAT_1 -> GW_1 -> BS_1 -> DC_1,0.95,2.6140134386429192,1.3273074052400446,0.405007891408727,7.857458891199406,0.8515013738721551,0.0809734648940094,71.66234785749542,0.03638634173158535,True,0.06722830453106717,transition
14,F4,GW_2 -> SAT_2 -> UAV_2 -> BS_2 -> GW_1 -> BS_1,0.82,2.524973085837949,1.3635869784914725,0.6278575135065875,7.012990150369088,0.8976432292922839,0.05979658815875295,84.93054364203402,0.009517654528821053,True,0.06722830453106717,transition
15,F1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,1.25,2.5081910761408808,1.7333266032071888,0.5061883214011005,7.2436147271716695,0.8931935167144969,0.0664327747577096,69.94863140646663,0.0016138913006389973,True,0.06896065795828915,transition
15,F2,SAT_2 -> SAT_1 -> UAV_1 -> BS_2 -> GW_1 -> BS_1,1.05,2.616553373968619,1.382242750231576,0.3554960107163797,7.988423545536414,0.8398839044790453,0.08971267930853227,74.65134693925935,0.018075260807586993,True,0.06896065795828915,transition
15,F3,UAV_1 -> SAT_1 -> GW_1 -> BS_1 -> DC_1,0.95,2.579355122158276,1.2782485029648278,0.3554960107163797,7.857458891199406,0.8515013738721551,0.0823387277995179,71.66234785749542,0.016269829882457777,True,0.06896065795828915,transition
15,F4,GW_2 -> SAT_2 -> SAT_1 -> GW_1 -> BS_1,0.82,2.6744661886493475,1.3830812136527089,0.858707264382337,7.012990150369088,0.8304114359499164,0.09293293175218398,90.40979447553352,0.03317312314747638,True,0.06896065795828915,transition
